wavelength_nm,E_norm
511.02,0.55969
511.38,0.56831
511.75,0.57471
512.11,0.5901
512.47,0.59845
512.84,0.60915
513.2,0.61959
513.56,0.6244
513.93,0.63957
514.29,0.64624
514.65,0.65745
515.02,0.67169
515.38,0.68036
515.74,0.69221
516.1,0.70252
516.47,0.71059
516.83,0.72509
517.19,0.7342
517.56,0.74664
517.92,0.7574
518.28,0.76768
518.64,0.77505
519.01,0.78558
519.37,0.80005
519.73,0.80822
520.1,0.82011
520.46,0.83133
520.82,0.83593
521.18,0.84519
521.55,0.85382
521.91,0.86442
522.27,0.87558
522.63,0.88482
523.0,0.89553
523.36,0.90042
523.72,0.9068
524.08,0.91077
524.44,0.91908
524.81,0.93042
525.17,0.93047
525.53,0.93999
525.89,0.94086
526.25,0.94948
526.62,0.95121
526.98,0.96148
527.34,0.95958
527.7,0.96373
528.06,0.96441
528.43,0.97161
528.79,0.97847
529.15,0.97426
529.51,0.98325
529.87,0.98655
530.23,0.98224
530.6,0.98938
530.96,0.99575
531.32,1.0
531.68,0.99433
532.04,0.99288
532.4,0.99384
532.76,0.99349
533.12,0.99685
533.49,0.99289
533.85,0.98797
534.21,0.99305
534.57,0.9936
534.93,0.98932
535.29,0.99184
535.65,0.99387
536.01,0.98906
536.37,0.99522
536.74,0.9879
537.1,0.98847
537.46,0.98394
537.82,0.98216
538.18,0.97855
538.54,0.97985
538.9,0.98425
539.26,0.9857
539.62,0.98055
539.98,0.98271
540.34,0.97775
540.7,0.97907
541.06,0.97469
541.42,0.98196
541.78,0.98152
542.14,0.97224
542.5,0.97541
542.86,0.97402
543.22,0.97003
543.58,0.96854
543.94,0.97984
544.3,0.97196
544.66,0.97148
545.02,0.96701
545.38,0.96589
545.74,0.96448
546.1,0.96069
546.46,0.9551
546.82,0.95651
547.18,0.95133
547.54,0.95197
547.9,0.94612
548.26,0.9506
548.62,0.94773
548.98,0.95008
549.34,0.94558
549.7,0.94966
550.06,0.94433
550.42,0.94455
550.78,0.94398
551.14,0.95285
551.5,0.95096
551.86,0.95633
552.22,0.94373
552.57,0.95537
552.93,0.95366
553.29,0.95255
553.65,0.95773
554.01,0.9621
554.37,0.94919
554.73,0.94107
555.09,0.9449
555.45,0.95405
555.8,0.95283
556.16,0.95933
556.52,0.95263
556.88,0.95216
557.24,0.95946
557.6,0.95853
557.96,0.9721
558.32,0.96591
558.67,0.96385
559.03,0.96493
559.39,0.96215
559.75,0.96452
560.11,0.9628
560.47,0.96915
560.82,0.97457
561.18,0.96965
561.54,0.96726
561.9,0.96697
562.26,0.97087
562.61,0.97237
562.97,0.97359
563.33,0.97613
563.69,0.97606
564.05,0.97604
564.4,0.97318
564.76,0.98389
565.12,0.98331
565.48,0.98405
565.83,0.98058
566.19,0.98212
566.55,0.98133
566.91,0.98122
567.26,0.97905
567.62,0.98679
567.98,0.98706
568.34,0.98865
568.69,0.98663
569.05,0.98578
569.41,0.97916
569.77,0.98549
570.12,0.97207
570.48,0.97405
570.84,0.97005
571.19,0.97089
571.55,0.97214
571.91,0.97014
572.27,0.96687
572.62,0.96385
572.98,0.96272
573.34,0.96398
573.69,0.95963
574.05,0.95487
574.41,0.95249
574.76,0.94545
575.12,0.94247
575.48,0.94168
575.83,0.93434
576.19,0.93022
576.55,0.92709
576.9,0.92557
577.26,0.92345
577.62,0.91935
577.97,0.91279
578.33,0.90737
578.68,0.90304
